name,issuer,type,category,multiplier,notes,benefit_title,benefit_description,annualFee
Chase Sapphire Preferred,Chase,Travel,Dining,3,,Travel Insurance,Trip cancellation coverage,95
Chase Sapphire Preferred,Chase,Travel,Travel,2,,No Foreign Fees,Use abroad without extra charges,95
Citi Double Cash,Citi,Cashback,Everything Else,2,,,,0
Amex Gold,American Express,Travel,Dining,4,,,,250
Amex Gold,American Express,Travel,Groceries,4,,,,250
Discover It Cashback,Discover,Cashback,Rotating Categories,5,,,,0
Wells Fargo Active Cash,Wells Fargo,Cashback,Everything Else,2,,,,0
BOA Customized Cash,Bank of America,Cashback,Groceries,2,,,,0
Capital One Savor One,Capital One,Cashback,Dining,3,,,,0
Capital One Savor One,Capital One,Cashback,Entertainment,3,,,,0
Capital One Savor One,Capital One,Cashback,Groceries,3,,,,0
